p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.7809605528207568e-286,1.6351620016370179,0.973,0.388,3.271802631587012e-282,0,SMAP2
1.699462458376259e-285,1.7308897633215523,0.887,0.21,3.122082482283026e-281,0,PDK4
2.1223140296838592e-285,1.2154843544190275,0.796,0.142,3.898903103932218e-281,0,LPCAT2
3.646202220672361e-285,1.3711417216213242,0.784,0.135,6.698438099597195e-281,0,CD84
4.292871032501182e-285,1.2962043319182643,0.811,0.149,7.886433373807922e-281,0,CD302
1.7738430484007978e-284,1.6378497416482236,0.941,0.283,3.258727064217106e-280,0,KLF2
3.806350887712158e-284,1.190918775385745,0.79,0.138,6.992647215816006e-280,0,TBXAS1
1.3342073985164288e-283,1.3869515501435146,0.881,0.21,2.4510724118145314e-279,0,DAB2
5.1003725956503553e-281,1.304861943423995,0.842,0.17,9.369894495469268e-277,0,SLC11A1
5.169599577235685e-281,1.2365696910358888,0.764,0.127,9.497071383339678e-277,0,C3AR1
1.2422819630992758e-280,1.2663376675429525,0.757,0.123,2.2821961944096795e-276,0,HLA-DQB1
2.1325651975662025e-280,1.4292372322000795,0.934,0.265,3.9177355244488705e-276,0,AKAP13
3.916505807933266e-280,1.967875009369295,1,0.589,7.195012819754203e-276,0,SAT1
8.260242491122199e-279,1.4705652316375708,0.872,0.211,1.5174891480440592e-274,0,PLIN2
3.975248761149604e-278,1.3261067159111888,0.778,0.138,7.302929499107937e-274,0,LTC4S
3.346551186467932e-277,1.3161130736414508,0.812,0.158,6.147949184660238e-273,0,MIS18BP1
3.964754271891673e-277,1.5699584036214067,0.982,0.388,7.283650072892192e-273,0,NPC2
3.2719387378442546e-276,1.3514645009462443,0.883,0.223,6.01087865529368e-272,0,CYFIP1
6.818347000842663e-276,1.2693021340036568,0.908,0.208,1.2525985275248057e-271,0,ARPC1B
4.3489762284871644e-275,1.6130152954401462,0.991,0.445,7.98950422935377e-271,0,CTSB
1.0561029858530085e-274,1.2627777206033217,0.74,0.113,1.940166795310562e-270,0,OLR1
1.5804748357808982e-274,1.4422804340906485,1,0.907,2.9034903208130882e-270,0,ITM2B
1.7595931213848012e-274,1.3145361883830653,0.768,0.136,3.2325485232960184e-270,0,ALOX15B
4.0213588659428415e-272,2.0400995809054168,1,0.959,7.387638372623594e-268,0,FTL
3.8953998249995685e-271,1.1601478740648463,0.725,0.117,7.156239018506707e-267,0,CSF2RA
2.8274850835224676e-269,1.1299711797641558,0.768,0.134,5.194372846939125e-265,0,PYCARD
5.895227493256083e-269,1.0914709009936674,0.775,0.137,1.083012242786075e-264,0,LGALS9
9.540119198651165e-269,1.3058016365082965,0.918,0.276,1.7526152979842054e-264,0,CXCL16
5.2445245209022e-267,1.2291150365343109,0.813,0.158,9.63471599734943e-263,0,CTSC
1.075130255285846e-265,1.0861542918353617,0.788,0.145,1.9751217919856276e-261,0,NUDT16
2.0206219633339575e-264,1.4136986168039738,0.793,0.153,3.7120846088408136e-260,0,CD14
3.4164466467405886e-264,1.7447360932504468,0.983,0.431,6.276354134727135e-260,0,MAFB
8.018456832344356e-262,1.1778182244757849,0.793,0.153,1.4730707046699816e-257,0,CAPG
4.670280421866959e-261,1.0373819855017894,0.734,0.122,8.57977216301179e-257,0,TNFRSF1B
5.9754704545763345e-261,1.3339298267415127,0.871,0.225,1.0977536772102184e-256,0,SORL1
5.728526686645566e-260,1.079715391621654,0.741,0.128,1.0523876376036569e-255,0,HAVCR2
6.74033022506554e-260,1.0474047805830393,0.706,0.115,1.2382660656467904e-255,0,ITGAX
1.0025658893116441e-259,1.5509267011594736,0.952,0.415,1.8418137952544213e-255,0,LIPA
9.34589624448542e-259,1.0062412562688279,0.76,0.132,1.7169345990744168e-254,0,AXL
